Frame	 PSNR-Y 	 PSNR-U 	 PSNR-V 	 PSNR-All 	 Frame	  SSIM-Y	  SSIM-U	  SSIM-V	  SSIM-All	 Frame
   91	 45.480011	 45.869427	 45.174007	 45.489259	  min	  0.988359	  0.980547	  0.982240	  0.986037	     
   92	 46.613512	 46.620949	 45.859841	 46.479664	     	  0.988077	  0.981821	  0.983481	  0.986268	     
   93	 45.638754	 46.188938	 45.473507	 45.697200	     	  0.988218	  0.981111	  0.982778	  0.986127	     
   94	 46.575677	 46.499337	 45.763393	 46.416910	     	  0.987978	  0.981244	  0.983068	  0.986037	     
   95	 46.603767	 46.649106	 45.955153	 46.496039	     	  0.987958	  0.981752	  0.983565	  0.986191	     
   96	 49.023121	 48.563110	 47.961630	 48.750568	     	  0.992740	  0.987094	  0.988357	  0.991068	     
   97	 45.684688	 46.627051	 45.618341	 45.816721	     	  0.990748	  0.983154	  0.983971	  0.988352	     
   98	 46.068845	 46.416167	 45.420691	 46.008398	     	  0.990776	  0.981944	  0.982752	  0.987967	     
   99	 45.166056	 45.748077	 44.774936	 45.188687	  min	  0.989924	  0.980006	  0.980799	  0.986750	     
  100	 45.987445	 46.435108	 45.467470	 45.966327	     	  0.990252	  0.981603	  0.982468	  0.987513	     
  101	 44.903984	 45.431653	 44.352862	 44.888886	  min	  0.989477	  0.978422	  0.978945	  0.985879	     
  102	 45.611120	 45.632156	 44.692941	 45.447336	     	  0.989871	  0.978674	  0.979675	  0.986305	     
  103	 44.767318	 45.152211	 44.165329	 44.721333	  min	  0.989075	  0.977107	  0.977844	  0.985208	     
  104	 45.560602	 45.683052	 44.851638	 45.453700	     	  0.989372	  0.978357	  0.979955	  0.985967	     
  105	 44.521285	 44.828948	 43.842575	 44.448957	  min	  0.988578	  0.975278	  0.976234	  0.984304	     
  106	 44.967998	 44.987595	 44.040900	 44.802214	     	  0.988894	  0.975382	  0.976623	  0.984597	     
  107	 44.452248	 44.670977	 43.713900	 44.354765	  min	  0.988287	  0.974318	  0.975356	  0.983804	     
  108	 45.262263	 45.290679	 44.478386	 45.125966	     	  0.988693	  0.976378	  0.978173	  0.984887	     
  109	 44.378358	 44.551207	 43.587146	 44.263488	  min	  0.988069	  0.973531	  0.974722	  0.983422	     
  110	 44.801893	 44.741347	 43.813181	 44.610941	     	  0.988326	  0.973868	  0.975336	  0.983751	     
  111	 44.265518	 44.427197	 43.493429	 44.152620	  min	  0.987722	  0.972752	  0.974165	  0.982968	     
  112	 44.995347	 44.996901	 44.252118	 44.862555	     	  0.988031	  0.974525	  0.977027	  0.983946	     
  113	 44.195762	 44.284541	 43.401424	 44.067064	  min	  0.987506	  0.971671	  0.973668	  0.982560	     
  114	 44.596631	 44.454503	 43.639021	 44.398571	     	  0.987850	  0.971840	  0.974220	  0.982910	     
  115	 44.025528	 44.126810	 43.308409	 43.913711	  min	  0.987147	  0.970918	  0.973067	  0.982096	     
  116	 44.762905	 44.703913	 44.053900	 44.626801	     	  0.987406	  0.972773	  0.975959	  0.983060	     
  117	 43.987840	 43.974311	 43.176312	 43.839429	  min	  0.986803	  0.969620	  0.972075	  0.981484	     
  118	 44.302145	 44.095897	 43.311403	 44.086889	     	  0.986846	  0.969422	  0.972119	  0.981487	     
  119	 43.714089	 43.727700	 42.934289	 43.576201	  min	  0.986041	  0.967977	  0.970465	  0.980434	     
  120	 44.083771	 44.123461	 43.390514	 43.966673	     	  0.985815	  0.969149	  0.972412	  0.980803	     
  121	 43.604238	 43.563829	 42.777725	 43.448563	  min	  0.985600	  0.966578	  0.969360	  0.979723	     
  122	 43.943489	 43.740624	 42.933156	 43.724884	     	  0.985719	  0.966778	  0.969628	  0.979880	     
  123	 43.520508	 43.458160	 42.714340	 43.365211	  min	  0.985113	  0.965909	  0.968776	  0.979190	     
  124	 43.854537	 43.852214	 43.088898	 43.716811	     	  0.984795	  0.967160	  0.970340	  0.979446	     
  125	 43.450831	 43.376324	 42.619561	 43.288679	  min	  0.984780	  0.964952	  0.967812	  0.978647	     
  126	 43.723069	 43.523176	 42.729318	 43.508269	     	  0.984803	  0.964913	  0.967838	  0.978661	     
  127	 43.300422	 43.262485	 42.551181	 43.160072	  min	  0.984119	  0.964165	  0.967128	  0.977961	     
  128	 43.654335	 43.641085	 42.886014	 43.514326	     	  0.983790	  0.965324	  0.968559	  0.978174	     
  129	 43.265209	 43.172440	 42.480349	 43.109047	  min	  0.983722	  0.963191	  0.966417	  0.977416	     
  130	 43.554235	 43.280716	 42.554573	 43.325943	     	  0.983766	  0.962819	  0.966130	  0.977335	     
  131	 43.137524	 43.100118	 42.426788	 43.004617	  min	  0.983159	  0.962368	  0.965740	  0.976790	     
  132	 43.461352	 43.423105	 42.692170	 43.317121	     	  0.982822	  0.963237	  0.966761	  0.976881	     
  133	 43.003205	 43.066170	 42.358894	 42.899121	  min	  0.982675	  0.961844	  0.965102	  0.976275	     
  134	 43.399038	 43.179741	 42.369160	 43.173787	     	  0.983055	  0.961421	  0.964243	  0.976314	     
  135	 42.943597	 42.960541	 42.240456	 42.820953	  min	  0.982265	  0.960971	  0.963880	  0.975651	     
  136	 43.275261	 43.266019	 42.482382	 43.131158	     	  0.981898	  0.961620	  0.964661	  0.975645	     
  137	 42.936686	 42.909124	 42.138082	 42.788510	  min	  0.981990	  0.960413	  0.962909	  0.975214	     
  138	 43.175520	 43.066341	 42.220936	 42.983466	     	  0.982038	  0.960211	  0.962493	  0.975142	     
  139	 42.799208	 42.813964	 42.018708	 42.661369	  min	  0.981387	  0.959354	  0.961647	  0.974425	     
  140	 43.120887	 43.132382	 42.323291	 42.979214	     	  0.980981	  0.960056	  0.962685	  0.974444	     
  141	 42.811584	 42.827984	 42.058264	 42.679249	     	  0.980947	  0.958973	  0.961303	  0.974010	     
  142	 43.121110	 43.056837	 42.288223	 42.960314	     	  0.980746	  0.959254	  0.962009	  0.974041	     
  143	 43.206723	 43.218379	 42.543218	 43.090746	     	  0.980906	  0.960749	  0.963724	  0.974683	     
  144	 44.782086	 44.649201	 44.118526	 44.642378	     	  0.985409	  0.970493	  0.973496	  0.980937	     
  145	 43.078918	 43.320803	 42.452099	 43.006355	     	  0.982930	  0.964608	  0.965509	  0.976973	     
  146	 43.437457	 43.478796	 42.667632	 43.305947	     	  0.982981	  0.964129	  0.965783	  0.976972	     
  147	 42.690015	 42.773078	 41.942567	 42.569479	  min	  0.981529	  0.960344	  0.961295	  0.974626	     
  148	 43.131898	 43.568297	 42.983943	 43.176238	     	  0.981612	  0.964376	  0.967171	  0.976332	     
  149	 42.502970	 42.604686	 41.776302	 42.389391	  min	  0.980698	  0.958760	  0.959559	  0.973519	     
  150	 43.000883	 43.012556	 42.280830	 42.874162	     	  0.981124	  0.960338	  0.962221	  0.974509	     
  151	 42.434293	 42.434642	 41.643808	 42.292201	  min	  0.980052	  0.957183	  0.958019	  0.972568	     
  152	 42.852689	 43.238490	 42.654611	 42.880527	     	  0.980043	  0.961530	  0.964370	  0.974345	     
  153	 42.408957	 42.338288	 41.550607	 42.242153	  min	  0.979598	  0.956298	  0.957017	  0.971951	     
  154	 42.842882	 42.876419	 42.237354	 42.741350	     	  0.980005	  0.959071	  0.961398	  0.973415	     
  155	 42.323471	 42.221840	 41.457421	 42.150100	  min	  0.978827	  0.955338	  0.955986	  0.971105	     
  156	 42.674281	 43.084903	 42.521478	 42.713841	     	  0.978721	  0.960196	  0.963127	  0.973035	     
  157	 42.142152	 42.047666	 41.310015	 41.976562	  min	  0.977612	  0.953449	  0.954420	  0.969720	     
